County_FIPS,County,State,Obesity-2019-Percentage,Primary Care Physicians: Rate per 100000-2019-Rate per 100,000
48421,Sherman County,Texas,21.9,No Data
48461,Upton County,Texas,21.9,54.68964
48505,Zapata County,Texas,21.9,7.05268
51063,Floyd County,Virginia,21.9,44.447269999999996
55029,Door County,Wisconsin,21.9,75.89996
06085,Santa Clara County,California,22,105.60977
06091,Sierra County,California,22,33.27787
08007,Archuleta County,Colorado,22,78.40901
08023,Costilla County,Colorado,22,No Data
08105,Rio Grande County,Colorado,22,97.63025
09001,Fairfield County,Connecticut,22,94.34642000000001
13207,Monroe County,Georgia,22,58.01726
16017,Bonner County,Idaho,22,45.91268
20199,Wallace County,Kansas,22,0
21171,Monroe County,Kentucky,22,46.94836
25025,Suffolk County,Massachusetts,22,154.37109
28009,Benton County,Mississippi,22,12.108
28021,Claiborne County,Mississippi,22,44.50378
29011,Barton County,Missouri,22,25.523229999999998
31005,Arthur County,Nebraska,22,0
37043,Clay County,North Carolina,22,53.423559999999995
48011,Armstrong County,Texas,22,0
48013,Atascosa County,Texas,22,17.59428
48017,Bailey County,Texas,22,28.57143
48075,Childress County,Texas,22,136.8738
48119,Delta County,Texas,22,18.758210000000002
48125,Dickens County,Texas,22,45.2284
48159,Franklin County,Texas,22,27.97203
48177,Gonzales County,Texas,22,38.39324
48193,Hamilton County,Texas,22,94.55147
48293,Limestone County,Texas,22,38.400819999999996
48315,Marion County,Texas,22,No Data
48329,Midland County,Texas,22,36.19254
48359,Oldham County,Texas,22,No Data
48435,Sutton County,Texas,22,105.9322
48501,Yoakum County,Texas,22,34.431309999999996
51683,Manassas City,Virginia,22,94.92516
53031,Jefferson County,Washington,22,86.89985
06003,Alpine County,California,22.1,0
08011,Bent County,Colorado,22.1,No Data
17169,Schuyler County,Illinois,22.1,14.77541
30075,Powder River County,Montana,22.1,0
32027,Pershing County,Nevada,22.1,14.869889999999998
46043,Douglas County,South Dakota,22.1,34.234849999999994
46129,Walworth County,South Dakota,22.1,110.39558000000001
48047,Brooks County,Texas,22.1,No Data
48079,Cochran County,Texas,22.1,70.10165
48103,Crane County,Texas,22.1,20.84636
48105,Crockett County,Texas,22.1,28.868360000000003
48183,Gregg County,Texas,22.1,86.32861
48263,Kent County,Texas,22.1,0
48269,King County,Texas,22.1,0
48271,Kinney County,Texas,22.1,No Data
48283,La Salle County,Texas,22.1,No Data
48305,Lynn County,Texas,22.1,84.01949
48341,Moore County,Texas,22.1,38.204390000000004
48377,Presidio County,Texas,22.1,29.832939999999997
48385,Real County,Texas,22.1,57.93743
48411,San Saba County,Texas,22.1,33.03055
48413,Schleicher County,Texas,22.1,No Data
48445,Terry County,Texas,22.1,40.52849
51530,Buena Vista City,Virginia,22.1,30.873730000000002
55051,Iron County,Wisconsin,22.1,52.75189
02105,Hoonah-Angoon Census Area,Alaska,22.2,No Data
06015,Del Norte County,California,22.2,57.52912
08069,Larimer County,Colorado,22.2,85.45835
13099,Early County,Georgia,22.2,58.88126
13109,Evans County,Georgia,22.2,46.930730000000004
13303,Washington County,Georgia,22.2,53.99038
17007,Boone County,Illinois,22.2,54.16106
17017,Cass County,Illinois,22.2,No Data
17047,Edwards County,Illinois,22.2,No Data
17059,Gallatin County,Illinois,22.2,20.712509999999998
17123,Marshall County,Illinois,22.2,8.74279
17171,Scott County,Illinois,22.2,No Data
18013,Brown County,Indiana,22.2,39.75616
18139,Rush County,Indiana,22.2,36.186
20071,Greeley County,Kansas,22.2,81.16883
22049,Jackson Parish,Louisiana,22.2,19.05488
22081,Red River Parish,Louisiana,22.2,35.5366
37033,Caswell County,North Carolina,22.2,17.69598
37115,Madison County,North Carolina,22.2,64.35302
42063,Indiana County,Pennsylvania,22.2,51.14603
46069,Hyde County,South Dakota,22.2,0
46073,Jerauld County,South Dakota,22.2,49.6771
48059,Callahan County,Texas,22.2,7.17206
48155,Foard County,Texas,22.2,0
48161,Freestone County,Texas,22.2,30.43059
48163,Frio County,Texas,22.2,19.69861
48169,Garza County,Texas,22.2,16.053939999999997
48203,Harrison County,Texas,22.2,30.05124
48205,Hartley County,Texas,22.2,No Data
48243,Jeff Davis County,Texas,22.2,43.97537
48259,Kendall County,Texas,22.2,86.44135999999999
48275,Knox County,Texas,22.2,27.292579999999997
48285,Lavaca County,Texas,22.2,69.46512
48319,Mason County,Texas,22.2,No Data
48335,Mitchell County,Texas,22.2,46.811
48345,Motley County,Texas,22.2,0
48353,Nolan County,Texas,22.2,33.98124
48425,Somervell County,Texas,22.2,65.73181
48489,Willacy County,Texas,22.2,32.7746
48507,Zavala County,Texas,22.2,8.44595
51073,Gloucester County,Virginia,22.2,56.22791
51678,Lexington City,Virginia,22.2,No Data
08079,Mineral County,Colorado,22.3,130.03901
08091,Ouray County,Colorado,22.3,121.16317
