County_FIPS,County,State,Obesity-2019-Percentage,Limited Access to Healthy Foods-2019-Percent
13303,Washington County,Georgia,22.2,12.938980597
17007,Boone County,Illinois,22.2,7.4435406746
17017,Cass County,Illinois,22.2,3.4067971677
17047,Edwards County,Illinois,22.2,7.645395728
17059,Gallatin County,Illinois,22.2,29.870463889
17123,Marshall County,Illinois,22.2,4.3452305741
17171,Scott County,Illinois,22.2,19.82173184
18013,Brown County,Indiana,22.2,1.0610946175
18139,Rush County,Indiana,22.2,4.433562457
20071,Greeley County,Kansas,22.2,4.1657349239
22049,Jackson Parish,Louisiana,22.2,10.726576764
22081,Red River Parish,Louisiana,22.2,3.8642152468
37033,Caswell County,North Carolina,22.2,3.0131167971
37115,Madison County,North Carolina,22.2,6.260361165
42063,Indiana County,Pennsylvania,22.2,2.534258657
46069,Hyde County,South Dakota,22.2,4.862867514
46073,Jerauld County,South Dakota,22.2,24.306133811
48059,Callahan County,Texas,22.2,9.0247150358
48155,Foard County,Texas,22.2,41.296431304
48161,Freestone County,Texas,22.2,8.7157285867
48163,Frio County,Texas,22.2,11.658174925
48169,Garza County,Texas,22.2,5.2620285359
48203,Harrison County,Texas,22.2,4.8363784109
48205,Hartley County,Texas,22.2,11.53906611
48243,Jeff Davis County,Texas,22.2,8.0791954276
48259,Kendall County,Texas,22.2,1.2723890268
48275,Knox County,Texas,22.2,5.9312553793
48285,Lavaca County,Texas,22.2,4.2763467193
48319,Mason County,Texas,22.2,2.7979766548
48335,Mitchell County,Texas,22.2,6.037091849
48345,Motley County,Texas,22.2,3.3135185274
48353,Nolan County,Texas,22.2,7.0924861674
48425,Somervell County,Texas,22.2,0
48489,Willacy County,Texas,22.2,25.639684457
48507,Zavala County,Texas,22.2,23.049950322
51073,Gloucester County,Virginia,22.2,1.5607259548
51678,Lexington City,Virginia,22.2,1.6729780567
08079,Mineral County,Colorado,22.3,3.4362836815
08091,Ouray County,Colorado,22.3,1.0584333679
13035,Butts County,Georgia,22.3,8.5464164803
13141,Hancock County,Georgia,22.3,29.727594462
17039,De Witt County,Illinois,22.3,2.1567963457
17051,Fayette County,Illinois,22.3,18.419976113
20187,Stanton County,Kansas,22.3,2.6490674411
30067,Park County,Montana,22.3,12.398624572
32011,Eureka County,Nevada,22.3,6.2523653131
37021,Buncombe County,North Carolina,22.3,9.8158863085
37145,Person County,North Carolina,22.3,5.0863049183
41069,Wheeler County,Oregon,22.3,51.060387645
46075,Jones County,South Dakota,22.3,40.134244454
46079,Lake County,South Dakota,22.3,2.4306447994
48069,Castro County,Texas,22.3,4.4770104823
48081,Coke County,Texas,22.3,36.075327737
48109,Culberson County,Texas,22.3,4.2500927128
48133,Eastland County,Texas,22.3,10.886806211
48249,Jim Wells County,Texas,22.3,9.6614210463
48323,Maverick County,Texas,22.3,18.029939789
48399,Runnels County,Texas,22.3,15.985387453
48431,Sterling County,Texas,22.3,35.902085389
48447,Throckmorton County,Texas,22.3,32.190611012
48459,Upshur County,Texas,22.3,3.3956192503
48483,Wheeler County,Texas,22.3,3.1033145891
48503,Young County,Texas,22.3,13.695069165
51690,Martinsville City,Virginia,22.3,14.197569522
53009,Clallam County,Washington,22.3,12.600490179
55037,Florence County,Wisconsin,22.3,5.0069264224
05127,Scott County,Arkansas,22.4,20.810097776
08003,Alamosa County,Colorado,22.4,12.574632801
08111,San Juan County,Colorado,22.4,29.006630196
13007,Baker County,Georgia,22.4,28.043420129
13201,Miller County,Georgia,22.4,0.1281491602
17013,Calhoun County,Illinois,22.4,5.2582062752
17023,Clark County,Illinois,22.4,9.7732760077
17107,Logan County,Illinois,22.4,7.2243540927
17147,Piatt County,Illinois,22.4,1.5941169124
22077,Pointe Coupee Parish,Louisiana,22.4,10.541854149
26001,Alcona County,Michigan,22.4,6.1626304384
26013,Baraga County,Michigan,22.4,4.5129067649
26095,Luce County,Michigan,22.4,10.916346479
27103,Nicollet County,Minnesota,22.4,9.7774122743
36079,Putnam County,New York,22.4,6.6963945426
48051,Burleson County,Texas,22.4,5.3716429098
48123,Dewitt County,Texas,22.4,2.1758720793
48127,Dimmit County,Texas,22.4,26.666988109
48129,Donley County,Texas,22.4,5.5254057054
48153,Floyd County,Texas,22.4,4.4818080834
48235,Irion County,Texas,22.4,26.405268042
48281,Lampasas County,Texas,22.4,5.895344939
48307,Mcculloch County,Texas,22.4,19.202764177
48311,Mcmullen County,Texas,22.4,25.343757878
48327,Menard County,Texas,22.4,6.032632132
48369,Parmer County,Texas,22.4,8.2006309563
48387,Red River County,Texas,22.4,25.870835996
48443,Terrell County,Texas,22.4,41.531322382
48495,Winkler County,Texas,22.4,1.4399815679
49033,Rich County,Utah,22.4,34.584877077
55063,La Crosse County,Wisconsin,22.4,4.7504430391
02158,Kusilvak Census Area,Alaska,22.5,No Data
06049,Modoc County,California,22.5,17.175960327
13105,Elbert County,Georgia,22.5,10.400572389
13237,Putnam County,Georgia,22.5,9.5033880562
13283,Treutlen County,Georgia,22.5,19.327616469
17129,Menard County,Illinois,22.5,2.1440351881
17151,Pope County,Illinois,22.5,10.719006535
17155,Putnam County,Illinois,22.5,0.0477080038
20075,Hamilton County,Kansas,22.5,7.4315800583
20129,Morton County,Kansas,22.5,9.4164019184
22025,Catahoula Parish,Louisiana,22.5,13.608408867
25001,Barnstable County,Massachusetts,22.5,9.1467361409
27125,Red Lake County,Minnesota,22.5,26.255648046
31007,Banner County,Nebraska,22.5,27.545758338
32017,Lincoln County,Nevada,22.5,14.591519342
35021,Harding County,New Mexico,22.5,48.148148241
35059,Union County,New Mexico,22.5,11.009835172
48211,Hemphill County,Texas,22.5,2.7796606741
