County_FIPS,County,State,Obesity-2021-Percentage,Enrolled in Free or Reduced Lunch-2020-2021-Percent
48263,Kent County,Texas,17.5,38.63636363636363
48289,Leon County,Texas,17.5,58.362760834670944
48343,Morris County,Texas,17.5,80.60479666319083
48371,Pecos County,Texas,17.5,64.43905817174516
48403,Sabine County,Texas,17.5,58.81057268722467
51540,Charlottesville City,Virginia,17.5,No Data
06035,Lassen County,California,17.6,48.29293719051343
06055,Napa County,California,17.6,50.27666769136182
06063,Plumas County,California,17.6,59.5296423321901
17061,Greene County,Illinois,17.6,No Data
17171,Scott County,Illinois,17.6,No Data
17185,Wabash County,Illinois,17.6,No Data
21079,Garrard County,Kentucky,17.6,62.875197472353875
38087,Slope County,North Dakota,17.6,No Data
40129,Roger Mills County,Oklahoma,17.6,48.41149773071105
48079,Cochran County,Texas,17.6,71.10799438990182
48153,Floyd County,Texas,17.6,77.57575757575758
48243,Jeff Davis County,Texas,17.6,45.258620689655174
48295,Lipscomb County,Texas,17.6,67.21311475409836
48301,Loving County,Texas,17.6,No Data
48319,Mason County,Texas,17.6,47.3463687150838
48413,Schleicher County,Texas,17.6,70.05758157389636
48431,Sterling County,Texas,17.6,39.50617283950617
48433,Stonewall County,Texas,17.6,57.27699530516433
48463,Uvalde County,Texas,17.6,72.76794397977048
48501,Yoakum County,Texas,17.6,63.65393910101498
13101,Echols County,Georgia,17.7,91.27906976744185
13125,Glascock County,Georgia,17.7,58.87521968365553
17053,Ford County,Illinois,17.7,No Data
17123,Marshall County,Illinois,17.7,No Data
17145,Perry County,Illinois,17.7,No Data
32011,Eureka County,Nevada,17.7,29.32098765432099
37029,Camden County,North Carolina,17.7,17.376681614349778
37177,Tyrrell County,North Carolina,17.7,98.41549295774648
46075,Jones County,South Dakota,17.7,40.11299435028249
46097,Miner County,South Dakota,17.7,15.929203539823009
48013,Atascosa County,Texas,17.7,61.99440345967947
48069,Castro County,Texas,17.7,63.9294403892944
48109,Culberson County,Texas,17.7,81.65374677002583
48117,Deaf Smith County,Texas,17.7,76.9576059850374
48179,Gray County,Texas,17.7,61.80378129790496
48237,Jack County,Texas,17.7,65.995115995116
48307,Mcculloch County,Texas,17.7,66.38198757763976
48417,Shackelford County,Texas,17.7,51.690821256038646
48443,Terrell County,Texas,17.7,57.02479338842975
48495,Winkler County,Texas,17.7,60.727056019070325
01011,Bullock County,Alabama,17.8,76.29009762900976
06043,Mariposa County,California,17.8,66.79579413392362
08061,Kiowa County,Colorado,17.8,54.054054054054056
13249,Schley County,Georgia,17.8,46.889952153110045
17181,Union County,Illinois,17.8,No Data
22125,West Feliciana Parish,Louisiana,17.8,28.98686679174484
31007,Banner County,Nebraska,17.8,74.83443708609272
40057,Harmon County,Oklahoma,17.8,70.0587084148728
42093,Montour County,Pennsylvania,17.8,32.26555246053853
48089,Colorado County,Texas,17.8,62.85468615649184
48105,Crockett County,Texas,17.8,53.141361256544506
48293,Limestone County,Texas,17.8,74.421768707483
48313,Madison County,Texas,17.8,72.35929067077872
48315,Marion County,Texas,17.8,75.2241238793806
48317,Martin County,Texas,17.8,48.59375
48327,Menard County,Texas,17.8,59.85663082437276
48447,Throckmorton County,Texas,17.8,50.498338870431894
49055,Wayne County,Utah,17.8,42.70152505446623
51678,Lexington City,Virginia,17.8,No Data
51685,Manassas Park City,Virginia,17.8,No Data
55013,Burnett County,Wisconsin,17.8,58.80070546737214
08011,Bent County,Colorado,17.9,62.297734627831716
13149,Heard County,Georgia,17.9,57.455931395902816
22081,Red River Parish,Louisiana,17.9,66.64275466284074
37131,Northampton County,North Carolina,17.9,79.64285714285714
47027,Clay County,Tennessee,17.9,No Data
48087,Collingsworth County,Texas,17.9,65.49815498154982
48379,Rains County,Texas,17.9,61.96606202457578
48449,Titus County,Texas,17.9,70.28612303290414
51640,Galax City,Virginia,17.9,No Data
06021,Glenn County,California,18,74.32668765302553
08025,Crowley County,Colorado,18,58.9873417721519
08103,Rio Blanco County,Colorado,18,34.8381601362862
13147,Hart County,Georgia,18,50
17153,Pulaski County,Illinois,18,No Data
21229,Washington County,Kentucky,18,57.294117647058826
37187,Washington County,North Carolina,18,98.72013651877133
46063,Harding County,South Dakota,18,23.118279569892472
48205,Hartley County,Texas,18,59.02777777777778
48353,Nolan County,Texas,18,61.61904761904762
08017,Cheyenne County,Colorado,18.1,38.88888888888889
13311,White County,Georgia,18.1,32.79088689991863
17191,Wayne County,Illinois,18.1,No Data
26071,Iron County,Michigan,18.1,64.16464891041163
37005,Alleghany County,North Carolina,18.1,53.823311061618405
40003,Alfalfa County,Oklahoma,18.1,49.27007299270073
48365,Panola County,Texas,18.1,52.21330572094227
48411,San Saba County,Texas,18.1,71.23015873015873
48425,Somervell County,Texas,18.1,45.535714285714285
51036,Charles City County,Virginia,18.1,No Data
51530,Buena Vista City,Virginia,18.1,No Data
13259,Stewart County,Georgia,18.2,97.86729857819904
13263,Talbot County,Georgia,18.2,100
17025,Clay County,Illinois,18.2,No Data
21005,Anderson County,Kentucky,18.2,45.48449080428219
28125,Sharkey County,Mississippi,18.2,100
31165,Sioux County,Nebraska,18.2,30.434782608695656
37095,Hyde County,North Carolina,18.2,79.1044776119403
42113,Sullivan County,Pennsylvania,18.2,43.17032040472175
46067,Hutchinson County,South Dakota,18.2,33.10344827586207
48003,Andrews County,Texas,18.2,46.5843023255814
48097,Cooke County,Texas,18.2,53.226044588808506
48405,San Augustine County,Texas,18.2,85.16377649325626
48473,Waller County,Texas,18.2,68.37135148393426
08009,Baca County,Colorado,18.3,57.57097791798107
27031,Cook County,Minnesota,18.3,28.865979381443296
31009,Blaine County,Nebraska,18.3,55.00000000000001
35023,Hidalgo County,New Mexico,18.3,88.75838926174497
37121,Mitchell County,North Carolina,18.3,98.87920298879203
40043,Dewey County,Oklahoma,18.3,44.881889763779526
41025,Harney County,Oregon,18.3,No Data
46061,Hanson County,South Dakota,18.3,19.381107491856678
47169,Trousdale County,Tennessee,18.3,No Data
06011,Colusa County,California,18.4,68.98680289484888
08015,Chaffee County,Colorado,18.4,32.57831325301205
13253,Seminole County,Georgia,18.4,100
13273,Terrell County,Georgia,18.4,99.74640743871514
16033,Clark County,Idaho,18.4,33.33333333333333
17029,Coles County,Illinois,18.4,No Data
17041,Douglas County,Illinois,18.4,No Data
17047,Edwards County,Illinois,18.4,No Data
17139,Moultrie County,Illinois,18.4,No Data
35003,Catron County,New Mexico,18.4,82.26415094339623
48023,Baylor County,Texas,18.4,57.326892109500804
48207,Haskell County,Texas,18.4,68.41432225063939
48429,Stephens County,Texas,18.4,63.052781740370904
48475,Ward County,Texas,18.4,56.05993829881005
08067,La Plata County,Colorado,18.5,31.469979296066253
13257,Stephens County,Georgia,18.5,65.40320529127447
26095,Luce County,Michigan,18.5,59.49367088607595
37103,Jones County,North Carolina,18.5,98.32347140039448
48189,Hale County,Texas,18.5,75.56323220186242
48227,Howard County,Texas,18.5,56.39138240574506
48311,Mcmullen County,Texas,18.5,24.719101123595504
