County_FIPS,County,State,Obesity-2019-Percentage,Access to Exercise Opportunities-2020 & 2022-Percent
08047,Gilpin County,Colorado,21.9,55.6646005509642
08121,Washington County,Colorado,21.9,42.0801328627777
13249,Schley County,Georgia,21.9,24.037827138772798
16009,Benewah County,Idaho,21.9,61.8782791185729
17153,Pulaski County,Illinois,21.9,37.7238590410168
17185,Wabash County,Illinois,21.9,69.5449344247866
26083,Keweenaw County,Michigan,21.9,6.353861192570901
47169,Trousdale County,Tennessee,21.9,46.7671114937581
48023,Baylor County,Texas,21.9,88.16738816738821
48035,Bosque County,Texas,21.9,30.3372635042501
48043,Brewster County,Texas,21.9,71.4435365598156
48045,Briscoe County,Texas,21.9,29.2682926829268
48087,Collingsworth County,Texas,21.9,81.9381598793363
48107,Crosby County,Texas,21.9,20.3974284044418
48111,Dallam County,Texas,21.9,65.1300070274069
48115,Dawson County,Texas,21.9,68.5372511239563
48117,Deaf Smith County,Texas,21.9,80.2776731421191
48237,Jack County,Texas,21.9,63.609537299339
48289,Leon County,Texas,21.9,19.3269291939691
48317,Martin County,Texas,21.9,69.2953981286996
48343,Morris County,Texas,21.9,4.1677106823687
48383,Reagan County,Texas,21.9,92.0236336779911
48421,Sherman County,Texas,21.9,72.1782890007189
48461,Upton County,Texas,21.9,91.9891172914148
48505,Zapata County,Texas,21.9,30.9741522067823
51063,Floyd County,Virginia,21.9,25.1744636857069
55029,Door County,Wisconsin,21.9,72.2676777755604
06085,Santa Clara County,California,22,99.47765252479141
06091,Sierra County,California,22,7.0457354758962
08007,Archuleta County,Colorado,22,90.83763754772059
08023,Costilla County,Colorado,22,42.5835953129466
08105,Rio Grande County,Colorado,22,79.5909524222203
09001,Fairfield County,Connecticut,22,97.52668371945829
13207,Monroe County,Georgia,22,64.8030904603498
16017,Bonner County,Idaho,22,56.7140734451284
20199,Wallace County,Kansas,22,35.2513227513228
21171,Monroe County,Kentucky,22,43.976009878285396
25025,Suffolk County,Massachusetts,22,99.78243869182491
28009,Benton County,Mississippi,22,66.5184410149098
28021,Claiborne County,Mississippi,22,35.6431308155446
29011,Barton County,Missouri,22,47.6755177451233
31005,Arthur County,Nebraska,22,No Data
37043,Clay County,North Carolina,22,99.7925872486248
48011,Armstrong County,Texas,22,1.4069264069264
48013,Atascosa County,Texas,22,45.3441130234172
48017,Bailey County,Texas,22,78.4762456546929
48075,Childress County,Texas,22,74.56482593037211
48119,Delta County,Texas,22,61.2237093690249
48125,Dickens County,Texas,22,60.6214689265537
48159,Franklin County,Texas,22,23.7185056472632
48177,Gonzales County,Texas,22,49.6514527044217
48193,Hamilton County,Texas,22,37.3996594502554
48293,Limestone County,Texas,22,53.9871760137271
48315,Marion County,Texas,22,50.6323907455013
48329,Midland County,Texas,22,91.4279663260444
48359,Oldham County,Texas,22,0.1137656427759
48435,Sutton County,Texas,22,87.2775800711744
48501,Yoakum County,Texas,22,89.8102417468157
51683,Manassas City,Virginia,22,100
53031,Jefferson County,Washington,22,82.4574703581284
06003,Alpine County,California,22.1,77.7408637873754
08011,Bent County,Colorado,22.1,82.283185840708
17169,Schuyler County,Illinois,22.1,63.416401043175895
30075,Powder River County,Montana,22.1,15.7615112160567
32027,Pershing County,Nevada,22.1,22.8270676691729
46043,Douglas County,South Dakota,22.1,No Data
46129,Walworth County,South Dakota,22.1,68.61712135465659
48047,Brooks County,Texas,22.1,89.0050876201244
48079,Cochran County,Texas,22.1,1.4919513152729
48103,Crane County,Texas,22.1,94.0748663101604
48105,Crockett County,Texas,22.1,90.3163331181407
48183,Gregg County,Texas,22.1,81.0124035125846
48263,Kent County,Texas,22.1,No Data
48269,King County,Texas,22.1,No Data
48271,Kinney County,Texas,22.1,95.3978906999041
48283,La Salle County,Texas,22.1,No Data
48305,Lynn County,Texas,22.1,No Data
48341,Moore County,Texas,22.1,71.8466148515779
48377,Presidio County,Texas,22.1,94.9111074865438
48385,Real County,Texas,22.1,0.21754894851339998
48411,San Saba County,Texas,22.1,50.66317626527051
48413,Schleicher County,Texas,22.1,83.3945328437372
48445,Terry County,Texas,22.1,48.9054179697405
51530,Buena Vista City,Virginia,22.1,100
55051,Iron County,Wisconsin,22.1,49.5518983216555
