County_FIPS,County,State,Obesity-2019-Percentage,Commute ≥ 60 minutes-2017-2021-Percent
19021,Buena Vista County,Iowa,22.6,1.8
20017,Chase County,Kansas,22.6,7.9
22083,Richland Parish,Louisiana,22.6,6.3
29141,Morgan County,Missouri,22.6,7.6
29179,Reynolds County,Missouri,22.6,8.1
31117,Mcpherson County,Nebraska,22.6,1.5
37073,Gates County,North Carolina,22.6,27.7
37117,Martin County,North Carolina,22.6,6.3
37139,Pasquotank County,North Carolina,22.6,18.2
42105,Potter County,Pennsylvania,22.6,7.9
46119,Sully County,South Dakota,22.6,2.2
47121,Meigs County,Tennessee,22.6,10.3
48083,Coleman County,Texas,22.6,10.1
48301,Loving County,Texas,22.6,36.8
48325,Medina County,Texas,22.6,12.2
48379,Rains County,Texas,22.6,23.1
51720,Norton City,Virginia,22.6,6.4
54001,Barbour County,West Virginia,22.6,9.9
55103,Richland County,Wisconsin,22.6,9.6
08019,Clear Creek County,Colorado,22.7,11.5
13155,Irwin County,Georgia,22.7,7.4
13243,Randolph County,Georgia,22.7,17.8
17021,Christian County,Illinois,22.7,4.2
17069,Hardin County,Illinois,22.7,12.2
20023,Cheyenne County,Kansas,22.7,2.8
21201,Robertson County,Kentucky,22.7,23.2
28157,Wilkinson County,Mississippi,22.7,30.4
29139,Montgomery County,Missouri,22.7,12.8
30045,Judith Basin County,Montana,22.7,9.7
35057,Torrance County,New Mexico,22.7,22.7
46097,Miner County,South Dakota,22.7,8.1
47083,Houston County,Tennessee,22.7,22.4
48333,Mills County,Texas,22.7,6.7
48363,Palo Pinto County,Texas,22.7,12
48451,Tom Green County,Texas,22.7,5.5
48475,Ward County,Texas,22.7,7.5
08085,Montrose County,Colorado,22.8,7.7
13239,Quitman County,Georgia,22.8,8.4
20083,Hodgeman County,Kansas,22.8,2.6
21045,Casey County,Kentucky,22.8,13.4
21187,Owen County,Kentucky,22.8,20.6
28125,Sharkey County,Mississippi,22.8,8.6
31099,Kearney County,Nebraska,22.8,3.5
37013,Beaufort County,North Carolina,22.8,8.9
41017,Deschutes County,Oregon,22.8,3.1
46003,Aurora County,South Dakota,22.8,2.2
47101,Lewis County,Tennessee,22.8,13.9
48009,Archer County,Texas,22.8,4.2
48025,Bee County,Texas,22.8,7.3
48037,Bowie County,Texas,22.8,2.6
48223,Hopkins County,Texas,22.8,8.4
48247,Jim Hogg County,Texas,22.8,14.6
48255,Karnes County,Texas,22.8,9.3
48261,Kenedy County,Texas,22.8,0
48313,Madison County,Texas,22.8,9.7
48395,Robertson County,Texas,22.8,9
48453,Travis County,Texas,22.8,6.1
06035,Lassen County,California,22.9,4.4
08061,Kiowa County,Colorado,22.9,2.8
13263,Talbot County,Georgia,22.9,12.7
18049,Fulton County,Indiana,22.9,7.5
21223,Trimble County,Kentucky,22.9,4.3
22027,Claiborne Parish,Louisiana,22.9,10.6
29085,Hickory County,Missouri,22.9,26.6
30109,Wibaux County,Montana,22.9,7.1
32009,Esmeralda County,Nevada,22.9,5.6
37095,Hyde County,North Carolina,22.9,9.4
37131,Northampton County,North Carolina,22.9,6.6
37149,Polk County,North Carolina,22.9,4.7
40077,Latimer County,Oklahoma,22.9,9.3
48031,Blanco County,Texas,22.9,14.1
48185,Grimes County,Texas,22.9,14.8
48195,Hansford County,Texas,22.9,9.6
48337,Montague County,Texas,22.9,13.4
48389,Reeves County,Texas,22.9,12
48405,San Augustine County,Texas,22.9,3.4
51059,Fairfax County,Virginia,22.9,11.9
01063,Greene County,Alabama,23,37
08059,Jefferson County,Colorado,23,7
13183,Long County,Georgia,23,13.8
13253,Seminole County,Georgia,23,12.8
17149,Pike County,Illinois,23,7.2
21087,Green County,Kentucky,23,12.3
21181,Nicholas County,Kentucky,23,22.7
40067,Jefferson County,Oklahoma,23,11.3
47137,Pickett County,Tennessee,23,11.1
48227,Howard County,Texas,23,7.1
48331,Milam County,Texas,23,13.1
48449,Titus County,Texas,23,8.4
51127,New Kent County,Virginia,23,5.6
51181,Surry County,Virginia,23,23.9
51640,Galax City,Virginia,23,10
51750,Radford City,Virginia,23,1.6
02164,Lake and Peninsula Borough,Alaska,23.1,0.5
06059,Orange County,California,23.1,9
08027,Custer County,Colorado,23.1,19.4
08065,Lake County,Colorado,23.1,9.2
08093,Park County,Colorado,23.1,23.5
13119,Franklin County,Georgia,23.1,5.7
13149,Heard County,Georgia,23.1,16.8
17041,Douglas County,Illinois,23.1,3.5
20161,Riley County,Kansas,23.1,3.3
25003,Berkshire County,Massachusetts,23.1,4.9
26143,Roscommon County,Michigan,23.1,9.9
30037,Golden Valley County,Montana,23.1,28.7
37059,Davie County,North Carolina,23.1,7.6
37113,Macon County,North Carolina,23.1,5.1
40069,Johnston County,Oklahoma,23.1,8.3
47127,Moore County,Tennessee,23.1,9.4
48077,Clay County,Texas,23.1,10.6
48151,Fisher County,Texas,23.1,7.2
48279,Lamb County,Texas,23.1,5.9
48463,Uvalde County,Texas,23.1,5.7
49001,Beaver County,Utah,23.1,6.6
49009,Daggett County,Utah,23.1,4.8
50001,Addison County,Vermont,23.1,8.2
06061,Placer County,California,23.2,8.7
06079,San Luis Obispo County,California,23.2,4.1
